time,truth_east,truth_north,dr_east,dr_north
25.722000000000207,27.091129318419707,-411.8437693057502,0.2985454965413347,-296.5906132473396
25.822999999999865,27.34888167549534,-413.5228126979523,0.3901343966491727,-297.07380578321073
25.92099999999982,27.599851075787193,-415.21297558294884,0.47529675519887965,-297.5419513484738
26.021999999999935,27.864386389616477,-416.9253774535341,0.5619936760868723,-298.02346464791617
26.121999999999844,28.122138746661985,-418.6155403385306,0.650505891895779,-298.4974786378589
26.222000000000207,28.373108146968903,-420.3279422091159,0.7446313597058946,-298.96623635859635
26.320999999999913,28.617294590492044,-422.06258306449996,0.8443010308261517,-299.4233880831127
26.422000000000025,28.902178774612413,-423.708267979109,0.952069352737598,-299.8822793649983
26.521999999999935,29.1395822613819,-425.3761918785167,1.0635889649388068,-300.32999629762196
26.621999999999844,29.410900531979898,-427.0997132411063,1.1791750026816774,-300.7716886450353
26.722000000000207,29.661869932271756,-428.7453981549252,1.298607353779752,-301.2071135761201
26.822000000000116,29.899273419041236,-430.468919519095,1.4217737007475462,-301.63529623350365
26.922000000000025,30.190940559930326,-432.14796291129716,1.548062319566218,-302.05531795517527
27.021000000000186,30.462258830528327,-433.84924528908806,1.674762407178153,-302.4629991091857
27.121000000000095,30.740360057864923,-435.5394081740846,1.8025927281673146,-302.8671760486211
27.222000000000207,31.025244241985295,-437.17397359510903,1.92999672664393,-303.2687147561134
27.322000000000116,31.310128426105667,-438.8418974953069,2.053915986099216,-303.6609346255777
27.422000000000025,31.62892739405455,-440.5654188578965,2.1761956467914843,-304.04927890532304
27.521000000000186,31.907028621421265,-442.27782072769173,2.296914097071662,-304.4314634513655
27.621999999999844,32.198695762295294,-443.9568641206839,2.4207949127377155,-304.81998290561836
27.721000000000004,32.47001403287823,-445.6359075128861,2.5429272128696785,-305.19967764863407
27.820999999999913,32.761681173767315,-447.3260703978826,2.666160950246676,-305.5820276834103
27.922000000000025,33.02621648758154,-449.01623328208893,2.7898147734689385,-305.9669652886884
28.021000000000186,33.297534758179545,-450.7063961678756,2.9105938606265185,-306.3427739357581
28.121999999999844,33.575635985546256,-452.41879803846086,3.034735938061727,-306.7238974310954
28.222000000000207,33.840171299360485,-454.1534388938449,3.160304089643413,-307.0982535995055
28.322000000000116,34.111489569958486,-455.8102433004583,3.2902048138841096,-307.4689307632526
28.42099999999982,34.3624589702654,-457.5004061862448,3.4243381101697903,-307.8315393169425
28.521000000000186,34.67447498144557,-459.21280805604005,3.566231041764999,-308.192413877195
28.621000000000095,34.9390102952598,-460.92520992662537,3.7147180930053283,-308.5469428447473
28.721000000000004,35.2103285658578,-462.65985078200936,3.869504711518814,-308.8945518648058
28.822000000000116,35.47486387967202,-464.3611331598003,4.031488036998645,-309.23877307881725
28.92099999999982,35.766531020561104,-466.0735350303856,4.194422549239558,-309.5706760627631
29.021000000000186,36.05819816143513,-467.77481740817655,4.361550646991521,-309.90219978106467
29.121000000000095,36.32273347526442,-469.4760997859675,4.529696034939141,-310.2320911482966
29.221000000000004,36.600834702616076,-471.15514317816957,4.698152845941199,-310.5618530632124
29.322000000000116,36.87893592996773,-472.85642555596047,4.868946639885994,-310.89527516022855
29.422000000000025,37.15025420055066,-474.5577079329613,5.039759988238989,-311.2254149146812
29.521999999999935,37.4351383846861,-476.2478708179578,5.2135052186165165,-311.55467433981835
29.621999999999844,37.71323961203775,-477.94915319574875,5.390872475718424,-311.88171865981786
29.721000000000004,37.97777492586704,-479.60595760315215,5.569776354277056,-312.20191267753154
29.822000000000116,38.24231023969633,-481.30723998094305,5.754726591965645,-312.5238083895611
29.92099999999982,38.52041146704798,-482.952924894762,5.937273350855796,-312.83438044088496
30.021000000000186,38.7985126944147,-484.6097293021654,6.122358121348942,-313.143111493531
30.121000000000095,39.05626505146021,-486.2998921871619,6.308296914458409,-313.4471394788784
30.221000000000004,39.33436627882693,-487.9455771009808,6.495812422164996,-313.74692596197536
30.320999999999913,39.612467506163526,-489.6135010011786,6.685731615422451,-314.0432960678113
30.42099999999982,39.89735169028389,-491.2591859149975,6.878590493813194,-314.33753476559434
30.521000000000186,40.18901883117297,-492.8937513368121,7.074487830974387,-314.63126669866506
30.621999999999844,40.48746892883077,-494.50607777303793,7.274925061035964,-314.9291955622432
30.722000000000207,40.785919026473515,-496.15176268764696,7.4744780228501355,-315.2269452843417
30.822000000000116,41.07080321059389,-497.7863281094616,7.672905992891746,-315.5283365895872
30.92099999999982,41.362470351482976,-499.40977403848177,7.866174638224244,-315.82994714240664
31.021999999999935,41.64735453560335,-501.04433945950626,8.059006235324494,-316.1390012264787
31.121999999999844,41.93223871972371,-502.6677853893165,8.246016251414508,-316.4430898210278
31.221000000000004,42.196774033537935,-504.357948273523,8.428587466446809,-316.7390882114714
31.322000000000116,42.49522413118068,-505.9591552177445,8.613832813473215,-317.0333808106863
31.42099999999982,42.79367422883848,-507.57148165397024,8.795778924348262,-317.3129735258519
31.521000000000186,43.11247319678737,-509.1282106270142,8.980622054485616,-317.5855430999862
31.621999999999844,43.390574424139025,-510.7738955416232,9.168338686291772,-317.8507583905054
31.722000000000207,43.70937339208791,-512.3639829922602,9.354753436878324,-318.1041525728229
31.820999999999913,44.014606446499364,-513.9874289212804,9.539447446014266,-318.34711221589816
31.92099999999982,44.30627358738845,-515.6219943438851,9.7260078826897,-318.58566081139907
32.021999999999935,44.611506641799906,-517.2232012865264,9.914584207419901,-318.8206761149711
32.121999999999844,44.89639082592028,-518.8466472155466,10.101836326670849,-319.04853149782826
32.22200000000021,45.17449205327193,-520.4812126373612,10.290135508474346,-319.27236634949827
32.322000000000116,45.4865080644521,-522.0824195807926,10.47982669202257,-319.4925054640189
32.422000000000025,45.75782633503504,-523.7169850026072,10.670884280541916,-319.70851810354844
32.521999999999935,46.0630593894465,-525.3293114388331,10.862967262381984,-319.919275611934
32.621000000000095,46.388641314194224,-526.9305183830546,11.053783630203307,-320.12124424369387
32.72200000000021,46.66674254151576,-528.5428448192803,11.24911791679102,-320.3187846178464
32.822000000000116,46.97197559592721,-530.1440517627118,11.443728240629403,-320.50517204507696
32.92099999999982,47.2636427368163,-531.7786171845264,11.638583501932695,-320.68081649691374
33.021000000000186,47.568875791227754,-533.357585143159,11.838613586150595,-320.8499790583984
33.121999999999844,47.90802362946773,-534.947672593796,12.044361409709012,-321.01323800023124
33.221000000000004,48.240388510954034,-536.4932820740455,12.249424883424885,-321.16654816947283
33.322000000000116,48.56597043564151,-538.0944890174769,12.461451866391634,-321.3167906245725
33.422000000000025,48.871203490068034,-539.7068154544929,12.673152446325574,-321.46078895592035
33.521000000000186,49.17643654446443,-541.3413808763074,12.883487679489233,-321.59980436572823
33.621000000000095,49.50201846916697,-542.9648268053277,13.095869425866187,-321.73673431683414
33.721000000000004,49.82760039388457,-544.5993922263522,13.307534013908331,-321.86917817445374
33.82099999999991,50.13961640506474,-546.2339576481668,13.518044289900205,-321.99566035359555
33.922000000000025,50.47876424330472,-547.8685230699814,13.72915725034249,-322.11595473796064
34.021999999999935,50.81791208154468,-549.4697300134128,13.936383690399705,-322.22643950172875
34.121000000000095,51.157059919769594,-551.1265344208161,14.139384965730999,-322.32557039531343
34.221000000000004,51.509773671546995,-552.738860857042,14.341805436460346,-322.4129523725566
34.32099999999991,51.87605333683171,-554.3511872932678,14.541364656830236,-322.4857679071241
34.42099999999982,52.21520117508673,-555.9968722078768,14.738362766802963,-322.5434283707988
34.521000000000186,52.56791492684908,-557.6314376289014,14.93363733242011,-322.5865286256903
34.621000000000095,52.94776050568628,-559.266003051506,15.128110118375323,-322.61638488714914
34.72200000000021,53.28012538715753,-560.9228074589095,15.324267651210718,-322.6345952725929
34.822000000000116,53.626056182166224,-562.5573728791438,15.518352586729367,-322.6422365491992
34.922000000000025,53.97198697715985,-564.2141772865473,15.71218595611501,-322.64041148999945
35.021000000000186,54.338266642459615,-565.8376232155674,15.903521532465925,-322.62998729808953
35.121000000000095,54.71132926451304,-567.4833081301765,16.095697297636608,-322.6113629271467
35.22200000000021,55.050477102753014,-569.1623515223786,16.28814352546607,-322.5851546955319
35.322000000000116,55.40997381128407,-570.7969169441932,16.476798383367388,-322.55276089386206
35.42099999999982,55.76268756304641,-572.4537213508065,16.66171343771984,-322.5147881091654
35.521000000000186,56.115401314823806,-574.1105257574197,16.84662609137739,-322.4702644753349
35.621000000000095,56.45454915306377,-575.7673301648232,17.029435817137248,-322.4189024839109
35.721000000000004,56.807262904811054,-577.4241345722266,17.209430371415166,-322.3596793401468
35.82099999999991,57.139627786297375,-579.0920584716343,17.38548867004799,-322.2915610948527
35.922000000000025,57.485558581306066,-580.7711018638364,17.558278551264088,-322.21300374501755
36.021000000000186,57.82470641953097,-582.4279062712399,17.722579710946352,-322.12644348638463
36.121999999999844,58.16385425777094,-584.106949663442,17.885712907758098,-322.0281916944927
36.221000000000004,58.4962191392422,-585.7859930556441,18.042856010328673,-321.9219840837728
36.32099999999991,58.82858402072851,-587.4650364478462,18.20063294107814,-321.803558151005
36.422000000000025,59.16094890219977,-589.1440798408383,18.360675427467104,-321.671041786812
36.521999999999935,59.493313783671034,-590.8342427258349,18.52107352479474,-321.5256669289798
36.621000000000095,59.832461621910994,-592.5021666252426,18.682717737832654,-321.36658928862704
36.721000000000004,60.15804354661354,-594.1923295102392,18.84937117169009,-321.18956276421017
36.822999999999865,60.47684251456242,-595.89361188803,19.02251355567947,-320.9919588580962
36.922000000000025,60.802424439280024,-597.594894265821,19.192471325970086,-320.7852285414757
37.021999999999935,61.121223407213854,-599.3184156284105,19.364711514530335,-320.5633716203416
37.121000000000095,61.460371245453814,-601.0085785126171,19.534631598724967,-320.3339049244346
37.221000000000004,61.79273612692507,-602.7432193687911,19.705094132829537,-320.09553638120184
37.32099999999991,62.12510100838127,-604.4667407313808,19.874635620946517,-319.85379501135645
37.42099999999982,62.464248846636295,-606.1680231099618,20.044061096746347,-319.6110273135205
37.521000000000186,62.79661372810755,-607.8915444725513,20.214032058400683,-319.3684853504802
37.621000000000095,63.13576156634753,-609.6261853287256,20.38455878246827,-319.1264114248128
37.721000000000004,63.46812644780372,-611.3385871985207,20.555195360625017,-318.884442275307
37.82099999999991,63.80727428605875,-613.0621085619005,20.72568670651534,-318.64221915276204
37.922000000000025,64.13963916753,-614.7745104316957,20.89806999491554,-318.39716353269824
38.021000000000186,64.47878700576997,-616.4980317950755,21.06793520102523,-318.15630267306705
38.121000000000095,64.83150075753232,-618.2104336656607,21.241095247965728,-317.91165934232146
38.22200000000021,65.17064859577229,-619.922835535456,21.417733045838826,-317.66215770856724
38.322000000000116,65.50301347724356,-621.6352374060413,21.59360269745827,-317.4117021157908
38.422000000000025,65.86251018577461,-623.3698782614252,21.769050095443855,-317.1569587661164
38.521000000000186,66.21522393753693,-625.1045191168093,21.941095117004185,-316.8999957925566
38.621999999999844,66.56793768931435,-626.828040480189,22.114511818922193,-316.6326651829639
38.721000000000004,66.91386848430797,-628.5404423507744,22.283023481627623,-316.36579320438324
38.82099999999991,67.25979927931665,-630.2639637125739,22.452912375875876,-316.09137518127494
38.92099999999982,67.61251303107899,-631.998604569538,22.624044622671573,-315.8115135537437
39.021000000000186,67.95844382608769,-633.7221259313376,22.798237046966534,-315.52481271149964
39.121999999999844,68.31115757783496,-635.4567667883018,22.97896743597957,-315.2265469014748
39.22200000000021,68.67065428638108,-637.1802881501013,23.163410815949444,-314.9213813706432
39.32099999999991,69.03015099489707,-638.9149290062754,23.350987266826937,-314.60939244126865
39.42099999999982,69.3896477034432,-640.638450368865,23.544154725937737,-314.28573973500266
39.521999999999935,69.74914441198929,-642.3619717322447,23.741441273981085,-313.9531414130477
39.621000000000095,70.10864112050531,-644.0743736028301,23.935934223422848,-313.6242060530571
39.721000000000004,70.47492078579,-645.8090144582142,24.13311374932669,-313.290009584007
39.822000000000116,70.85476636462721,-647.5547748063925,24.332759633776227,-312.9499398461181
39.922000000000025,71.23461194346442,-649.3005351553611,24.53062766913752,-312.60923823139615
40.021000000000186,71.6076745655329,-651.0351760107451,24.726523274907464,-312.26631365224455
40.121000000000095,71.98752014433998,-652.7698168669192,24.924421442090175,-311.9129562861708
40.22200000000021,72.36736572317719,-654.5378161998963,25.124375880657514,-311.54852255885106
40.32099999999991,72.75399425876803,-656.2724570560704,25.32034258046736,-311.1839893071275
40.42099999999982,73.14740575111256,-658.0182174042488,25.518091085163253,-310.8080754250174
40.521000000000186,73.54760020024084,-659.7973362308105,25.71562315571037,-310.42404631552273
40.621000000000095,73.9342287358317,-661.5542160717833,25.913210446693835,-310.0315266698317
40.721000000000004,74.31407431465382,-663.3333348975548,26.111456828458206,-309.6303394560875
40.822000000000116,74.7142687637821,-665.0902147385276,26.313149975825393,-309.2164586040585
40.92099999999982,75.10768025612663,-666.8804530578836,26.512886441857354,-308.8030350760579
41.021999999999935,75.50109174850125,-668.6595718836552,26.71916699094897,-308.3742657513777
41.121999999999844,75.90128619759943,-670.3830932470348,26.926122791004307,-307.9441452042678
41.22200000000021,76.30826360349643,-672.1844510583952,27.1360845933691,-307.5096695595295
41.32099999999991,76.70845805260966,-673.9635698849569,27.34719072322415,-307.0762043137292
41.422000000000025,77.11543545850665,-675.7426887115184,27.566178105461685,-306.6309072417085
41.521000000000186,77.52919582115732,-677.5329270300844,27.784522569723126,-306.1912607686995
41.621999999999844,77.9497391405616,-679.3342848422349,28.01155757563986,-305.73885160525623
41.721000000000004,78.37028245999606,-681.1245231608008,28.238938348950295,-305.29096070120795
41.822000000000116,78.79082577940036,-682.9147614801568,28.476764836375793,-304.82852795467164
41.92099999999982,79.2181520555734,-684.716119290727,28.715771883149078,-304.3691479318314
42.021999999999935,79.64547833176147,-686.5174771028775,28.96507179975482,-303.89362762447837
42.121000000000095,80.09315347824065,-688.2854764366447,29.213361789196615,-303.42093931561027
42.221000000000004,80.53404566793603,-690.0757147560007,29.466814541428143,-302.93708084340227
42.32099999999991,80.97493785764648,-691.8993115529498,29.72207241861297,-302.44722265828375
42.42099999999982,81.42261300414074,-693.7229083491089,29.978731572795592,-301.9517949097839
42.521000000000186,81.8499392802987,-695.5353856548438,30.236541434919026,-301.45131472942415
42.621999999999844,82.30439738353151,-697.3256239726197,30.49786780583587,-300.94117551493855
42.721000000000004,82.77242140030177,-699.1492207703589,30.754635142552253,-300.43701529358617
42.822000000000116,83.24044541707202,-700.9394590889248,31.016709640255222,-299.91878472761397
42.92099999999982,83.68812056355121,-702.7408169002852,31.273020091856374,-299.4076343856791
43.021000000000186,84.15614458032147,-704.5644136972342,31.53079810272615,-298.8885424825997
43.121999999999844,84.60381972678557,-706.376891002179,31.790081820988217,-298.3613258403251
43.221000000000004,85.05149487327981,-708.2004877991282,32.044087235255155,-297.8408038615896
43.32099999999991,85.51273593326628,-709.9684871321053,32.302158499986994,-297.3096730682059
43.422000000000025,86.01467473386505,-711.8143229146433,32.56630433224249,-296.7662752846411
43.521999999999935,86.5301794479862,-713.68239768277,32.83264869218804,-296.2205740276482
43.621999999999844,87.0592500756297,-715.4059190453596,33.10382869982386,-295.66710847086273
43.721000000000004,87.57475478975086,-717.3184717838739,33.375552362142884,-295.11202558032187
43.82099999999991,88.1241742877005,-719.375577926345,33.65112574488767,-294.5445638585621
43.92099999999982,88.54471760711988,-721.2325332016773,33.92607596510903,-293.9705019826566
44.021000000000186,89.0805711915321,-723.1228469546028,34.199774916044106,-293.3894910461651
44.121000000000095,89.67068843006392,-725.124355633892,34.47250794384266,-292.80079972654914
44.221000000000004,90.03018513859499,-726.9479524308412,34.74487179204001,-292.20362708063124
44.32099999999991,90.45072845801435,-728.7493102422014,35.01719937331524,-291.5972261196706
44.42099999999982,90.87805473418739,-730.5061900839644,35.28934313385962,-290.98088640572377
44.521000000000186,91.36642762124872,-732.2964284025303,35.56090596766003,-290.354174282245
44.621000000000095,91.83445163803404,-734.1422641850683,35.83165325562687,-289.717316965962
44.72200000000021,92.24142904390091,-736.0103389524049,36.10442150902361,-289.0646445688879
44.822000000000116,92.6144916659694,-737.8895332133261,36.37419124223737,-288.4102964257119
44.92099999999982,93.06894976920222,-739.6352935607144,36.64121987443727,-287.75561116161117
45.021000000000186,93.46236126157685,-741.470009851248,36.910766570876945,-287.08858429659307
45.121000000000095,93.78794318626433,-743.1156947650669,37.179596187504366,-286.4174234410539
45.221000000000004,94.26953311657202,-745.0504864891699,37.446980836571186,-285.7437780309963
45.322000000000116,94.65616165216288,-746.8073663301427,37.71493068595238,-285.0622904284645
45.42099999999982,94.98174357686543,-748.5420071855268,37.97520787015808,-284.394351376855
45.521000000000186,95.32767437187411,-750.4434404312466,38.235562275853745,-283.72065545098116
45.621999999999844,95.70073699392753,-752.2114397650139,38.49579310341409,-283.04181301315657
45.72200000000021,96.05345074568987,-754.0239170683785,38.75056388107103,-282.37132317462203
45.822000000000116,96.40616449746726,-755.7696774181371,39.002247095391915,-281.70223544783323
45.92099999999982,96.74531233570724,-757.4376013167548,39.24836337049959,-281.0409679300307
46.021000000000186,97.06411130365613,-759.3167955776759,39.49412356217034,-280.37386576243756
46.121999999999844,97.38969322835867,-761.0625559258543,39.73997670617562,-279.7002562380034
46.221000000000004,97.70170923953884,-762.7971967812383,39.979184459752716,-279.0390308063792
46.32099999999991,98.0069422939503,-764.5763156077999,40.21909440181786,-278.3689292064939
46.422000000000025,98.31217534834668,-766.3776734191603,40.45911797249046,-277.6887673454776
46.521999999999935,98.60384248925084,-768.1567922457219,40.69352022944131,-277.01091478076194
46.621999999999844,98.89550963012485,-769.9470305642878,40.923665083183785,-276.32746356491754
46.72200000000021,99.14647903043178,-771.7039104052607,41.14899746047246,-275.63755458470365
46.82099999999991,99.411014344246,-773.3829537982529,41.36739025874954,-274.94800099602213
46.922000000000025,99.66198374455293,-775.184311608823,41.58576659116424,-274.2381274917178
47.021000000000186,99.9197361016135,-776.9967889137679,41.796134683701666,-273.536922562125
47.121999999999844,100.15035663161426,-778.7759077403296,42.00734818219733,-272.8168333189455
47.22200000000021,100.38097716161502,-780.5439070740968,42.213190221002925,-272.1001832515689
47.322000000000116,100.5912488213247,-782.3007869150696,42.41563660848005,-271.3807877388554
47.42099999999982,100.80152048101934,-784.10214472643,42.612922416989136,-270.66661599636245
47.521000000000186,101.01179214072903,-785.892383045786,42.80977178597674,-269.9435812695767
47.621999999999844,101.18814901661018,-787.6715018715576,43.00724195297117,-269.21162171856224
47.721000000000004,101.35772293573773,-789.4839791757122,43.20039002093486,-268.4922038325644
47.822000000000116,101.52051389809651,-791.3186954654558,43.39723756970363,-267.75575602097985
47.922000000000025,101.66973894691787,-793.0978142912273,43.59138281570942,-267.02398755559204
48.021999999999935,101.80539808220182,-794.932530581761,43.783791918059535,-266.2900153387132
48.121999999999844,101.95462313103826,-796.6560519443506,43.973587442595004,-265.55467063045086
48.221000000000004,102.07671635279983,-798.4129317853234,44.15862339940684,-264.82627796493404
48.32099999999991,102.19202661780776,-800.1920506118848,44.34324206037163,-264.0911455144319
48.42099999999982,102.28698801250951,-801.9378109600633,44.527187643931036,-263.3576558176816
48.521999999999935,102.38194940721128,-803.6835713082418,44.71435295693462,-262.6191989447326
48.621000000000095,102.44977897486831,-805.4293316572104,44.90079437607471,-261.8976305031151
48.721000000000004,102.53117445603264,-807.1417335270056,45.09336408254833,-261.17039915959947
48.822999999999865,102.58543811015225,-808.9097328607728,45.29543055956737,-260.4292146066228
48.92099999999982,102.64648472104057,-810.6110152377737,45.496244897169355,-259.71657948839083
49.021000000000186,102.69396541839146,-812.3345366011533,45.70975240200584,-258.9878971224038
49.121999999999844,102.72788020221996,-814.0469384725286,45.93523115044749,-258.2497487378919
49.22200000000021,102.75501202927975,-815.7593403423239,46.16752745770789,-257.5167914179128
49.32099999999991,102.78214385633956,-817.4717422121191,46.40349578597051,-256.79011046476484
49.42099999999982,102.78892681309321,-819.1619050971157,46.643381589330225,-256.0571523569775
49.521000000000186,102.80249272663066,-820.8298289973135,46.88060930838871,-255.32764813572095
49.621000000000095,102.80927568339936,-822.5088723903058,47.113124830824184,-254.60266383023065
49.721000000000004,102.80249272663066,-824.1767962889232,47.341185305007066,-253.8810167071512
49.82099999999991,102.78214385633956,-825.8669591739198,47.56642384040581,-253.16002932955558
49.922000000000025,102.76179498603341,-827.5237635813232,47.79312999782605,-252.43009483728378
50.021999999999935,102.73466315897362,-829.1805679879366,48.01870093078761,-251.70503749109915
50.121000000000095,102.69396541839146,-830.8484918881344,48.24448027068928,-250.98613580780741
50.22200000000021,102.66005063456294,-832.4719378171545,48.47835385330654,-250.2537896488791
50.32099999999991,102.61256993721206,-834.1287422237679,48.71160264029525,-249.53872136145014
50.42099999999982,102.55152332633881,-835.7633076455824,48.95152950322406,-248.81976693721094
50.521999999999935,102.47691080191306,-837.4201120521958,49.19808148039231,-248.0962467805225
50.621999999999844,102.41586419102474,-839.0657969675948,49.445962103780076,-247.3809042722399
50.72200000000021,102.34125166661404,-840.7114818806236,49.697171264225375,-246.66473379215103
50.822000000000116,102.2598561854497,-842.3460473032284,49.95110963476131,-245.9461858360741
50.922000000000025,102.17846070427031,-843.9806127242529,50.207019293160045,-245.2245162850483
51.021000000000186,102.11063113662836,-845.6151781460676,50.46163988231161,-244.50708873900558
51.121999999999844,102.02923565543387,-847.2497435678821,50.722539531768575,-243.77260067148762
51.22200000000021,101.96140608779191,-848.8843089889066,50.98262106771598,-243.04347303279116
51.32099999999991,101.88679356338122,-850.4966354259225,51.24329166370621,-242.32030748214984
51.422000000000025,101.8121810389856,-852.1200813541526,51.514609669790815,-241.58149370409464
51.521000000000186,101.72400260103748,-853.743527284753,51.78778453167481,-240.8560811450671
51.621999999999844,101.6493900766268,-855.3558537201887,52.07576491362113,-240.11372051071163
51.72200000000021,101.57477755220106,-856.9681801564146,52.37108002509899,-239.37512902069065
