vehicle_east_m,vehicle_north_m,dr_east_m,dr_north_m,position_error_m
-3.3779124688472164,-106.33570834924328,8.208866649756716,-96.26015409900798,15.354811747226037
-3.364346555309786,-107.99251275664668,8.220073096252941,-97.61451278757228,15.55318816261222
-3.3439976850337625,-109.61595868566688,8.244164277935297,-99.01682582192781,15.704366117204367
-3.337214728265047,-111.25052410748148,8.26744125469668,-100.46257585087017,15.844490148635662
-3.316865857958901,-112.885089528506,8.291117022095055,-101.98452925411888,15.923802336099639
-3.3032999444365316,-114.4862964727275,8.307428853998749,-103.54077198678912,15.956613973618932
-3.282951074145447,-116.1208618945421,8.318382600981504,-105.09120343725861,16.007632827059716
-3.269385160608016,-117.74430782356231,8.313794079861283,-106.68812496677437,16.012783039795753
-3.249036290316931,-119.36775375258252,8.300998600137317,-108.30390908967478,15.994122817324575
-3.235470376779501,-120.99119968160272,8.294869423965348,-109.90944316364045,15.992312635889789
-3.2219044632721925,-122.62576510262724,8.293281299002595,-111.46168164134329,16.03858667932464
-3.2015555929660464,-124.24921103164745,8.306575004740315,-112.98836693061843,16.101045920111698
-3.194772636197331,-125.86153746866333,8.32186352397396,-114.51397895005746,16.167869147755663
-3.1744237659062464,-127.46274441209474,8.330123174221695,-116.03546628307566,16.21534106133956
-3.1608578523688156,-129.09730983390935,8.336034862210987,-117.53359114033888,16.306383170850278
-3.1337260253090156,-130.68739728533643,8.33930166050497,-119.0037884754322,16.374891727957348
-3.120160111786646,-132.34420169194976,8.343423426437536,-120.51481080199686,16.472651163827432
-3.1133771550179308,-133.95652812817556,8.356451926539979,-121.99774016523494,16.57014148107146
-3.099811241495561,-135.56885456440136,8.371802693884637,-123.52186395062553,16.635140790832285
-3.086245327958131,-137.19230049342158,8.396753530109553,-125.10411682434457,16.672835607410153
-3.072679414435761,-138.81574642244178,8.446598619334425,-126.70046827335439,16.717467842022447
-3.065896457667046,-140.42807285945767,8.511964196887751,-128.33681449702883,16.74053123778614
-3.0523305441446764,-142.0626382804822,8.602671335417096,-129.91806401101184,16.832401878498203
-3.0591135009133916,-143.6972037022968,8.713338005503175,-131.51060491554074,16.944137760898133
-3.0251987170848764,-145.2984106457282,8.835130418073877,-133.07939146013754,17.028559453228226
-3.0251987170848764,-146.9329760675428,8.967617005460992,-134.65457084030126,17.16353296612605
-2.998066890025076,-148.54530250376862,9.107792428296017,-136.21135458615927,17.282306011330828
-2.9641521061965608,-150.14650944720003,9.26548139263287,-137.79583801113176,17.38111102425284
-2.95058619265913,-151.792194361809,9.439405062392087,-139.37215808640647,17.543351572107326
-2.9098884520920216,-153.3934013068206,9.64252568687958,-140.95872042193363,17.668740459501567
-2.875973668248445,-154.99460824946192,9.86744570911766,-142.50870500366844,17.840754392422596
-2.8420588844199295,-156.59581519289333,10.116397370594655,-144.01603238819098,18.060247061616057
-2.8149270573601295,-158.20814162990922,10.375510912834459,-145.44084467005996,18.357328931697207
-2.77422931677796,-159.83158755892944,10.640670441260978,-146.81465159407776,18.692248592164677
-2.7267486194421364,-161.43279450236085,10.909853008303228,-148.15992489059124,19.02960776487168
-2.6792679220761904,-163.05624043059095,11.177461116377568,-149.4832721946687,19.39676278089934
-2.625004267971651,-164.66856686760684,11.45217809801941,-150.82850652169773,19.74118369662203
-2.5707406138369895,-166.28089330383264,11.74424089765138,-152.2474311736332,20.046365132711607
-2.50291104619502,-167.89321974005847,12.027226424215261,-153.59788872391658,20.383360463134853
-2.44864739207542,-169.51666566907866,12.289311642907922,-154.86846076358927,20.77925271683394
-2.3876007812021656,-171.10675312050577,12.539475401301836,-156.10230279408282,21.164856081636184
-2.3197712135300734,-172.71907955673157,12.797243698028774,-157.34059890557583,21.564364284028038
-2.2451586891344495,-174.33140599295737,13.075246519329067,-158.64661512419815,21.925498405925204
-2.1705461647237643,-175.94373242918317,13.366358170162789,-159.9922658123142,22.26757022085036
-2.1027165970667334,-177.55605886540897,13.672590381918416,-161.3783045529863,22.596018341166396
-2.0213211159023943,-179.1795047944292,14.00969459501425,-162.8303040766657,22.897376025068347
-1.939925634722994,-180.7473532602675,14.367399500121646,-164.3154090737571,23.150327056051022
-1.844964240006163,-182.3930381748765,14.724265534767262,-165.7818112876671,23.46214470221311
-1.7635687588418238,-184.0164841038967,15.089368950119418,-167.25069040131473,23.772112819429086
-1.6618244073562776,-185.6176910473281,15.46369440729768,-168.70097722867456,24.07194635033258
-1.5600800558857926,-187.2300174835539,15.851825158126843,-170.15388286101293,24.387882581907405
-1.4651186611840226,-188.8089854421866,16.24970548032272,-171.61419437275646,24.687564365199435
-1.3837231800196834,-190.4324313712068,16.653021209848617,-173.08253768858376,25.026844766845237
-1.275195871765422,-192.0113993298395,17.064528133693393,-174.58602158039753,25.298009137225588
-1.1598856067725674,-193.5903672876821,17.47565810780805,-176.1110770819722,25.550128681348582
-1.0377923850109974,-195.1359767679316,17.894708586541885,-177.63654183226652,25.781191130462272
-0.9428309902941663,-196.7260642185686,18.322322461544427,-179.15162539332698,26.076944559227965
-0.8003888982415116,-198.3050321772013,18.740408959755765,-180.6256443578285,26.35153761348469
-0.7054275035397418,-199.9173586142172,19.162116563179694,-182.1584563899003,26.647662476395304
-0.5629854114870871,-201.49632657205981,19.571051476911844,-183.6741681684733,26.888822428398353
-0.4544581032328254,-203.11977250108,19.9658192776028,-185.1716399828855,27.186820137723693
-0.3255819247176014,-204.70985995250712,20.34231342987531,-186.65513438350118,27.443305445236003
-0.19670574617225495,-206.2888279103497,20.68702391909556,-188.10852577109952,27.68850936049848
-0.061046610888315554,-207.8455568833936,21.015070003549777,-189.60647117105427,27.872332861952096
0.07461252441068501,-209.46900281241383,21.320967934239665,-191.09673159004345,28.08821760221015
0.20348870294097027,-211.03685127825213,21.599979279361914,-192.54102041857035,28.282601863633886
0.3527137517623403,-212.61581923688482,21.863341188838824,-193.99870065143423,28.44827230538679
0.47480697353897144,-214.21702618031622,22.129744248093996,-195.48900919860188,28.629965568129723
0.6240320223603415,-215.78487464536443,22.382317907053856,-196.9566334163149,28.773697579896353
0.7529082008906267,-217.37496209679153,22.627262670919254,-198.42108731480894,28.943682432122163
0.8885673361896272,-218.976169041013,22.855993810520093,-199.8506523678766,29.126503633624377
1.0174435147199126,-220.5773759852345,23.07597131660127,-201.29672624419342,29.297134727189288
1.1870174338173063,-222.13410495748832,23.294185153755166,-202.7766816936874,29.38429342372219
1.322676569131368,-223.73531190091973,23.496901485694032,-204.27816102138772,29.500457132037493
1.4583357044303684,-225.35875782914985,23.679960756074134,-205.65830709531863,29.696942250877495
1.6075607532517386,-226.90436731018943,23.862339991998862,-207.1085695421592,29.785043364717822
1.7500028453043932,-228.48333526882212,24.03774154766563,-208.55669629169796,29.896726198521712
1.8856619806033939,-230.07342272024923,24.214831918895747,-210.02634252102612,30.007953189899872
2.0281040726560486,-231.6635101716763,24.381951035020574,-211.5495413273085,30.071019548545614
2.190895035014849,-233.25359762231332,24.55029195684062,-213.11476190453254,30.09178184779882
2.333337127082565,-234.86592405853912,24.730735889618007,-214.6735994274726,30.15581942734105
2.482562175903935,-236.45601150917614,24.929529433596652,-216.23896812160527,30.20919036324628
2.631787224710244,-238.05721845260754,25.14627145479301,-217.80009520348173,30.286185670647253
2.787795230315391,-239.65842539603895,25.367173964017848,-219.32908754106958,30.382730647877345
2.9302373223831064,-241.23739335467164,25.58868718254217,-220.77342221363205,30.531614188028833
3.086245327958131,-242.82748080609875,25.826868735954438,-222.22638357479042,30.684542690386134
3.2490362903319925,-244.42868774953016,26.082531943065277,-223.64375805772033,30.87688174050073
3.411827252675732,-246.01877520016714,26.356519828128384,-225.13477306555313,31.025803173174978
3.581401171788187,-247.63110163718304,26.608175139328345,-226.72349443045522,31.102417244693413
3.778106917975503,-249.25454756620326,26.847515802201638,-228.34863268496966,31.132858900027095
3.9408978803192425,-250.86687400242906,27.079759336389138,-229.96837155753653,31.179389248706848
4.130820669737843,-252.44584196106175,27.307598620482057,-231.6035585008723,31.16991844732657
4.307177545619013,-254.06928789008197,27.52503400188696,-233.2750737942479,31.16838459540769
4.490317378268899,-255.65937534071898,27.724490435866727,-234.9040305154504,31.15463266492174
4.680240167672439,-257.26058228415036,27.89234323307494,-236.56189294321155,31.10044162309536
4.870162957106101,-258.8617892283719,28.049793640361035,-238.20639952452245,31.04738962344472
5.053302789740925,-260.4518766790089,28.22469556790087,-239.8750487076393,30.989018904171523
5.250008535928241,-262.01972514484714,28.42991967339075,-241.57520772325822,30.907710574261426
5.42636541179435,-263.6654100594562,28.64375037120261,-243.23364106664775,30.92740125728065
5.616288201212951,-265.23325852529445,28.853942647336638,-244.856100951489,30.90658724196427
5.799428033862836,-266.8233459759315,29.05435242789724,-246.45417819646872,30.91430905907749
